NAME,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME,POPULATION
Valdosta State University,1500 N Patterson St,GA,31698,public,Lowndes,30.849236,-83.289925,2888,9628,12516,1503,"Colleges, Universities, and Professional Schools",8.327345309381238,"50,190","10,617,423"
North Georgia College & State University,82 College Circle,GA,30597,public,Lumpkin,34.530311,-83.985762,1329,5048,6377,873,"Colleges, Universities, and Professional Schools",7.304696449026346,"50,190","10,617,423"
Columbus Technical College,928 Manchester Expy,GA,31904,public,Muscogee,32.508076,-84.978551,2836,1426,4262,424,Junior Colleges,10.05188679245283,"50,190","10,617,423"
Columbus State University,4225 University Ave,GA,31907,public,Muscogee,32.501556,-84.940796,2869,5370,8239,1294,"Colleges, Universities, and Professional Schools",6.367078825347759,"50,190","10,617,423"
Fort Valley State University,1005 State University Dr,GA,31030,public,Peach,32.538163,-83.895548,350,3212,3562,484,"Colleges, Universities, and Professional Schools",7.359504132231405,"50,190","10,617,423"
Augusta Area Dietetic Internship-University Hospital,1350 Walton Way,GA,30901,private non-profit,Richmond,33.472316,-81.982003,0,12,12,1,Other Technical and Trade Schools,12.0,"50,190","10,617,423"
Southern Crescent Technical College,501 Varsity Rd,GA,30223,public,Spalding,33.255438,-84.291662,3324,2223,5547,588,Junior Colleges,9.433673469387756,"50,190","10,617,423"
Toccoa Falls College,107 North Chapel Drive,GA,30598,private non-profit,Stephens,34.593702,-83.357254,54,751,805,149,"Colleges, Universities, and Professional Schools",5.402684563758389,"50,190","10,617,423"
Thomas University,1501 Millpond Rd,GA,31792,private non-profit,Thomas,30.815677,-83.9651,470,589,1059,191,"Colleges, Universities, and Professional Schools",5.544502617801047,"50,190","10,617,423"
Abraham Baldwin Agricultural College,2802 Moore Hwy,GA,31793,public,Tift,31.481889,-83.528281,1040,2193,3233,408,Junior Colleges,7.924019607843137,"50,190","10,617,423"
Waycross College,2001 S Georgia Pky,GA,31503,public,Ware,31.205954,-82.388472,444,389,833,78,Junior Colleges,10.67948717948718,"50,190","10,617,423"
Okefenokee Technical College,1701 Carswell Ave,GA,31503,public,Ware,31.212781,-82.3821,907,422,1329,194,Junior Colleges,6.850515463917525,"50,190","10,617,423"
Altamaha Technical College,1777 W Cherry St,GA,31545,public,Wayne,31.621943,-81.909737,1020,400,1420,247,Junior Colleges,5.748987854251012,"50,190","10,617,423"
Truett-McConnell College,100 Alumni Dr,GA,30528,private non-profit,White,34.596183,-83.748861,701,624,1325,161,"Colleges, Universities, and Professional Schools",8.229813664596273,"50,190","10,617,423"
Luther Rice University & Seminary,3038 Evans Mill Rd,GA,30038,private non-profit,DeKalb,33.697984,-84.123648,934,324,1258,74,"Colleges, Universities, and Professional Schools",17.0,"50,190","10,617,423"
Agnes Scott College,141 E. College Ave,GA,30030,private non-profit,DeKalb,33.769291,-84.295428,16,869,885,363,"Colleges, Universities, and Professional Schools",2.43801652892562,"50,190","10,617,423"
Interactive College of Technology-Chamblee,5303 New Peachtree Rd,GA,30341,private for profit,DeKalb,33.887941,-84.30319,6,315,321,65,Junior Colleges,4.938461538461539,"50,190","10,617,423"
Interactive College of Technology-Morrow,1580 Southlake Parkway  Suite C,GA,30260,private for profit,Clayton,33.57233,-84.336098,0,24,24,11,Junior Colleges,2.1818181818181817,"50,190","10,617,423"
Andrew College,501College St,GA,39840,private non-profit,Randolph,31.772321,-84.795021,1,291,292,74,Junior Colleges,3.945945945945946,"50,190","10,617,423"
The Art Institute of Atlanta,"6600 Peachtree Dunwoody Rd., 100 Embassy Row",GA,30328,private for profit,Fulton,33.936041,-84.355247,551,2710,3261,378,"Colleges, Universities, and Professional Schools",8.626984126984127,"50,190","10,617,423"
Georgia Career Institute,1820 Hwy 20 Ste 200,GA,30013,private for profit,Rockdale,33.641495,-84.013101,0,750,750,84,Cosmetology and Barber Schools,8.928571428571429,"50,190","10,617,423"
Atlanta Metropolitan State College,"1630 Metropolitan Parkway, SW",GA,30310,public,Fulton,33.70893,-84.404659,1273,1554,2827,328,Junior Colleges,8.61890243902439,"50,190","10,617,423"
Atlanta's John Marshall Law School,1422 W Peachtree St NW,GA,30309,private for profit,Fulton,33.793394,-84.387898,230,481,711,118,"Colleges, Universities, and Professional Schools",6.02542372881356,"50,190","10,617,423"
Clark Atlanta University,"223 James P Brawley Drive, S.W.",GA,30314,private non-profit,Fulton,33.748439,-84.413865,473,2946,3419,746,"Colleges, Universities, and Professional Schools",4.583109919571045,"50,190","10,617,423"
Bauder College,"384 Northyards Blvd., Suite 190",GA,30313,private for profit,Fulton,33.767494,-84.399724,80,670,750,130,"Colleges, Universities, and Professional Schools",5.769230769230769,"50,190","10,617,423"
Beauty College of America,1171 Main Street,GA,30297,private for profit,Clayton,33.618427,-84.35165,0,53,53,10,Cosmetology and Barber Schools,5.3,"50,190","10,617,423"
Berry College,2277 Martha Berry Hwy NW,GA,30149,private non-profit,Floyd,34.289254,-85.189077,155,2011,2166,547,"Colleges, Universities, and Professional Schools",3.959780621572212,"50,190","10,617,423"
Brenau University,500 Washington Street SE,GA,30501,private non-profit,Hall,34.303117,-83.821513,1333,1428,2761,453,"Colleges, Universities, and Professional Schools",6.094922737306844,"50,190","10,617,423"
Brewton-Parker College,201 David-Eliza Fountain Circle,GA,30445,private non-profit,Montgomery,32.185718,-82.586136,165,466,631,116,"Colleges, Universities, and Professional Schools",5.439655172413793,"50,190","10,617,423"
Brown College of Court Reporting,"1900 Emery St Suite 200, NW",GA,30318,private for profit,Fulton,33.807455,-84.415343,171,69,240,25,Junior Colleges,9.6,"50,190","10,617,423"
West Georgia Technical College,176 Murphy Campus Blvd.,GA,30182,public,Haralson,33.691657,-85.183666,4590,2039,6629,777,Junior Colleges,8.531531531531531,"50,190","10,617,423"
Clayton  State University,2000 Clayton State Boulevard,GA,30260,public,Clayton,33.594079,-84.328174,3097,4049,7146,805,"Colleges, Universities, and Professional Schools",8.877018633540372,"50,190","10,617,423"
Dalton State College,650 College Drive,GA,30720,public,Whitfield,34.77496,-85.00289,2071,2976,5047,415,"Colleges, Universities, and Professional Schools",12.16144578313253,"50,190","10,617,423"
