NAME,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME
University of Southern Maine,State,"$39,400.00","$63,600.00","$40,400.00","$47,900.00","$85,700.00","$117,000.00",96 Falmouth St,ME,4103,public,Cumberland,43.662251,-70.276073,2736,5395,8131,1428,"Colleges, Universities, and Professional Schools",5.693977591036415,"51,263"
Kent State University,State,"$38,700.00","$62,600.00","$36,100.00","$45,800.00","$87,000.00","$124,000.00","Executive Office, 2nd Floor Library",OH,44242,public,Portage,41.151603,-81.337128,6920,21682,28602,4080,"Colleges, Universities, and Professional Schools",7.010294117647059,"51,501"
Tarleton State University,State,"$40,800.00","$62,400.00","$32,100.00","$47,400.00","$80,400.00","$126,000.00",1333 W. Washington,TX,76401,public,Erath,32.215665,-98.22008,4543,7944,12487,1506,"Colleges, Universities, and Professional Schools",8.291500664010623,"55,205"
University of Wisconsin-Green Bay,State,"$35,800.00","$60,600.00","$35,500.00","$46,800.00","$81,800.00","$102,000.00",2420 Nicolet Dr,WI,54311,public,Brown,44.531102,-87.920499,1959,4739,6698,725,"Colleges, Universities, and Professional Schools",9.238620689655171,"56,786"
Morehead State University,State,"$34,800.00","$60,600.00","$34,300.00","$46,500.00","$72,000.00","$91,300.00",University Blvd,KY,40351,public,Rowan,38.188462,-83.429742,4456,6192,10648,1436,"Colleges, Universities, and Professional Schools",7.415041782729805,"42,611"
Austin Peay State University,State,"$37,700.00","$59,200.00","$32,200.00","$40,500.00","$73,900.00","$96,200.00",601 College St,TN,37044,public,Montgomery,36.533319,-87.354081,3546,7174,10720,1161,"Colleges, Universities, and Professional Schools",9.233419465977606,"45,548"
Pittsburg State University,State,"$40,400.00","$58,200.00","$25,600.00","$46,000.00","$84,600.00","$117,000.00",1701 S Broadway,KS,66762,public,Crawford,37.392057,-94.702483,1139,6150,7289,994,"Colleges, Universities, and Professional Schools",7.332997987927565,"54,185"
Southern Utah University,State,"$41,900.00","$56,500.00","$30,700.00","$39,700.00","$78,400.00","$116,000.00",351 West University Blvd,UT,84720,public,Iron,37.674617,-113.070146,2575,5722,8297,856,"Colleges, Universities, and Professional Schools",9.692757009345794,"64,857"
Montana State University Billings,State,"$37,900.00","$50,600.00","$22,600.00","$31,800.00","$78,500.00","$98,900.00",1500 University Drive,MT,59101,public,Yellowstone,45.796896,-108.523009,1572,3463,5035,660,"Colleges, Universities, and Professional Schools",7.628787878787879,"51,278"
Black Hills State University,State,"$35,300.00","$43,900.00","$27,000.00","$32,200.00","$60,900.00","$87,600.00",1200 University St,SD,57799,public,Lawrence,44.495141,-103.871756,1884,2526,4410,494,"Colleges, Universities, and Professional Schools",8.927125506072874,"54,090"
